Studio Color Code	BL Color Code	LDraw Color Code	LDD color code	Studio Color Name	BL Color Name	LDraw Color Name	LDD Color Name	RGB value	Alpha	CategoryName	Color Group Index		Ins_RGB	Ins_CMYK
1002	4	350	106	Rubber Orange	Orange	Rubber_Orange		#CF650F	1	Rubber Colors	5	to_lego,to_bl		0,51,93,19
94	94	351	22	Medium Dark Pink	Medium Dark Pink	Medium_Dark_Pink	Medium Reddish Violet	#F684B0	1	Solid Colors	0	o		0,46,28,4
220	220	353	9	Coral	Coral	Coral	Light Reddish Violet	#ff7575	1	Solid Colors	2	to_lego		0,54,54,0
220		353	16	Coral		Coral	Pink	#ff7575	1	Solid Colors	2	from_lego		0,54,54,0
29	29	366	12	Earth Orange	Earth Orange	Earth_Orange	Light Orange Brown	#F99B1B	1	Solid Colors	7	o		0,38,89,2
54	54	373	136	Sand Purple	Sand Purple	Sand_Purple	Sand violet	#835D83	1	Solid Colors	20	o		0,29,0,49
1005	9	375	2	Rubber Light Gray	Light Gray	Rubber_Light_Gray	Grey	#C0C1C0	1	Rubber Colors	-1	to_lego,to_bl		1,0,1,24
48	48	378	151	Sand Green	Sand Green	Sand_Green	Sand green	#9FBBAB	1	Solid Colors	13	o		15,0,9,27
55	55	379	135	Sand Blue	Sand Blue	Sand_Blue	Sand blue	#587083	1	Solid Colors	16	o		33,15,0,49
22	22	383	309	Chrome Silver	Chrome Silver	Chrome_Silver	Metalized Silver	#DFDFDF	1	Chrome Colors	-1	o		0,0,0,13
1013	63	406	140	Rubber Dark Blue	Dark Blue	Rubber_Dark_Blue	Earth blue	#001C67	1	Rubber Colors	17	to_lego,to_bl		100,73,0,60
1011	24	449	104	Rubber Purple	Purple	Rubber_Purple		#80007A	1	Rubber Colors	20	to_lego,to_bl		0,100,5,50
106	106	450	4	Fabuland Brown	Fabuland Brown	Fabuland_Brown		#B67B50	1	Solid Colors	4	o		0,32,56,29
31	31	462	105	Medium Orange	Medium Orange	Medium_Orange	Br. yellowish orange	#FEA60A	1	Solid Colors	7	o		0,35,96,0
68	68	484	38	Dark Orange	Dark Orange	Dark_Orange	Dark Orange	#A85400	1	Solid Colors	5	o		0,50,100,34
1012	34	490	119	Rubber Lime	Lime	Rubber_Lime		#D6EF00	1	Rubber Colors	10	to_lego,to_bl		10,0,100,6
-10	-10	493	26	Magnet	Magnet	Magnet		#656761	1	Metallic Colors	-1	to_lego		
-11	-11	494	309	Electric_Contact_Alloy	Electric_Contact_Alloy	Electric_Contact_Alloy		#D0D0D0	1	Metallic Colors	-1	to_lego		
-12	-12	495	139	Electric_Contact_Copper	Electric_Contact_Copper	Electric_Contact_Copper	Copper	#AE7A59	1	Metallic Colors	-1	to_lego		
1014	86	496	194	Rubber Light Bluish Gray	Light Bluish Gray	Rubber_Light_Bluish_Gray	Medium stone grey	#A2A1A3	1	Rubber Colors	-1	to_lego,to_bl		1,1,0,36
49	49	503	103	Very Light Gray	Very Light Gray	Very_Light_Gray	Light grey	#E5E2D9	1	Solid Colors	-1	o		0,1,5,10
1015	95	504	315	Rubber Flat Silver	Flat Silver	Rubber_Flat_Silver	Silver Metallic	#888687	1	Rubber Colors	-1	to_lego,to_bl		0,1,1,47
160	160	509	19	Fabuland Orange 	Fabuland Orange 	Fabuland Orange 	Light Brown	#D6923D	1	Solid Colors	5	o		0,32,71,16
1000	1	511	1	Rubber White	White	Rubber_White	White	#F9F9F9	1	Rubber Colors	-1	to_lego,to_bl		0,0,0,2
